snow,5.884874308040376
manhole,7.130798188122836
curb,7.9520282016752075
sidewalk,11.081712639723026
billboard,11.721116204399182
person,12.773303316060797
traffic sign (front),13.029069622615715
unlabeled,13.853460830110343
lane marking - general,14.904994944159169
service lane,15.277651716161657
fence,18.153778936830467
road,20.315349028083492
building,26.559528893233878
pole,29.503010109119696
lane marking - crosswalk,39.69899873380308
wall,41.18503952026367
car,52.54855126792221
rail track,53.115977884196546
vegetation,67.69178516520338
sky,70.37509884132085
street light,115.90281459263393
terrain,160.18730926513672
sand,169.30107324773616
